time	dataset_key	dataset	channel	seed	network	gpu	status	exit_code	seconds	launcher_log	worker_run_root
2026-05-02 21:17:43	SEED	seed_de_lds	2ch	2024	DGCNN	0	failed	1	30	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_DGCNN_seed2024_gpu0_1777727833680333811.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/DGCNN/seed2024
2026-05-02 21:18:03	SEED	seed_de_lds	2ch	2024	CoralDgcnn	0	failed	1	20	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_CoralDgcnn_seed2024_gpu0_1777727863845306656.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/CoralDgcnn/seed2024
2026-05-02 21:18:34	SEED	seed_de_lds	2ch	2024	GCBNet	0	failed	1	30	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_GCBNet_seed2024_gpu0_1777727884001138082.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/GCBNet/seed2024
2026-05-02 21:36:43	SEED	seed_de_lds	2ch	2024	CoralDgcnn	0	failed	1	21	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_CoralDgcnn_seed2024_gpu0_1777728982898572135.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/CoralDgcnn/seed2024
2026-05-02 21:36:53	SEED	seed_de_lds	2ch	2024	DBN	1	failed	1	30	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_DBN_seed2024_gpu1_1777728983088169015.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/DBN/seed2024
2026-05-02 21:36:53	SEED	seed_de_lds	2ch	2024	EEGNet	3	failed	1	30	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_EEGNet_seed2024_gpu3_1777728983407827974.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/EEGNet/seed2024
2026-05-02 21:36:53	SEED	seed_de_lds	2ch	2024	TSception	3	failed	1	30	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_TSception_seed2024_gpu3_1777728983446886618.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/TSception/seed2024
2026-05-02 21:37:03	SEED	seed_de_lds	2ch	2024	BiDANN	2	failed	1	40	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_BiDANN_seed2024_gpu2_1777728983245646188.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/BiDANN/seed2024
2026-05-02 21:37:13	SEED	seed_de_lds	2ch	2024	R2GSTNN	2	failed	1	50	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_R2GSTNN_seed2024_gpu2_1777728983318676572.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/R2GSTNN/seed2024
2026-05-02 21:37:13	SEED	seed_de_lds	2ch	2024	ACRNN	0	failed	1	30	/data/mzy/LibEER/runs_all_datasets_few_channels/launcher_logs/SEED_2ch_ACRNN_seed2024_gpu0_1777729003597662218.log	/data/mzy/LibEER/runs_all_datasets_few_channels/worker_runs/SEED/2ch/ACRNN/seed2024
